output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
B5-056,1.0,—,—,1.0,—,—
B5-057,4.0,—,—,—,4.0,—
B5-058,—,—,—,—,1.0,—
B5-059,4.0,—,—,—,4.0,3.0
B5-061,5.0,5.0,—,—,—,—
B5-062,—,—,—,—,1.0,—
B5-063,4.0,—,—,—,5.0,—
B5-064,1.0,—,—,—,1.0,—
B5-065,5.0,—,—,—,5.0,—
B5-066,3.6666666666666665,5.0,—,—,—,—
B5-067,—,—,—,—,1.0,—
B5-068,—,—,—,—,5.0,—
B5-069,4.0,—,—,—,4.0,—
B5-071,2.0,—,—,—,3.0,—
B5-072,3.0,—,—,5.0,—,—
B5-073,—,—,—,5.0,—,—
B5-074,5.0,—,—,—,5.0,—
B5-075,1.0,—,—,—,2.0,—
B5-076,—,—,—,—,5.0,—
B5-077,—,—,3.0,3.0,—,—
B5-078,4.5,—,—,5.0,—,—
B5-079,—,—,—,—,1.0,—
B5-081,4.0,—,—,5.0,—,—
B5-082,—,4.0,—,—,—,—
B5-083,—,—,—,5.0,—,—
B5-084,—,1.0,—,—,—,—
B5-085,—,—,5.0,4.0,—,—
B5-086,—,—,—,—,2.0,—
B5-087,4.0,5.0,—,—,—,—
B5-088,—,—,—,5.0,—,—
B5-089,5.0,—,—,5.0,—,—
B5-091,1.0,1.0,—,—,—,—
B5-092,1.0,—,—,—,1.0,—
B5-093,5.0,—,—,—,5.0,—
B5-094,3.0,—,—,—,4.0,—
B5-095,2.0,1.0,—,—,—,—
B5-096,4.0,—,—,5.0,—,—
B5-097,4.0,—,—,4.0,—,—
B5-098,—,—,1.0,—,2.0,—
B5-099,—,1.0,—,—,—,—
BD-001,—,—,—,1.0,—,—
BD-002,—,1.0,—,—,—,—
BD-003,—,—,—,—,1.0,—
BD-004,—,—,—,—,1.0,—
BD-005,1.0,—,1.0,—,2.0,—
BD-006,—,—,—,1.0,—,—
BD-007,—,—,—,—,1.0,—
BD-008,—,1.0,—,—,—,—
BD-009,—,1.0,—,—,—,—
BD-011,—,1.0,—,—,—,—
BD-012,—,1.0,—,—,—,—
BD-013,1.0,—,1.0,—,1.0,—
BD-014,1.0,—,—,1.0,—,—
BD-015,—,—,—,—,1.0,—
BD-016,1.0,—,—,—,1.0,—
BD-017,—,—,—,—,1.0,1.0
BD-018,—,—,—,—,1.0,—
BD-019,—,—,—,—,1.0,—
BD-021,5.0,—,—,—,5.0,—
BD-022,5.0,5.0,—,—,—,—
BD-023,1.0,—,—,—,1.0,1.0
BD-024,—,—,—,5.0,—,—
BD-025,—,—,—,—,5.0,—
BD-026,3.6666666666666665,—,—,—,5.0,—
BD-027,—,5.0,—,—,—,—
BD-028,2.0,—,—,—,2.0,—
BD-029,1.0,1.0,—,—,—,—
BD-031,—,2.0,—,—,—,—
BD-032,2.0,—,1.0,—,3.0,—
BD-033,5.0,—,—,5.0,—,—
BD-034,—,—,—,—,1.0,—
BD-035,—,—,—,1.0,—,—
BD-036,—,—,—,—,5.0,—
BD-037,2.0,5.0,—,—,—,—
BD-038,—,—,—,5.0,—,—
BD-039,5.0,—,—,—,4.0,—
BD-041,5.0,—,—,5.0,—,—
BD-042,5.0,—,—,5.0,—,—
BD-043,2.0,—,—,1.0,—,—
BD-044,—,—,—,1.0,—,—
BD-045,—,—,—,—,5.0,—
BD-046,5.0,—,—,—,5.0,—
BD-047,—,—,—,—,5.0,—
BD-048,—,—,—,—,1.0,—
BD-049,—,1.0,—,—,—,—
BD-051,—,—,—,—,1.0,—
BD-052,—,—,—,—,1.0,—
BD-053,—,1.0,—,—,—,—
BD-054,—,—,—,—,2.0,—
BD-055,—,1.0,—,—,—,—
BD-056,1.5,—,—,5.0,—,—
BD-057,—,—,—,1.0,—,1.0
BD-058,—,—,—,1.0,—,—
BD-059,1.5,—,—,—,1.0,—
BD-061,—,—,—,5.0,—,—
BD-062,—,—,—,1.0,—,—
BD-063,1.0,1.0,—,—,—,—
BD-064,—,—,1.0,—,1.0,—
BD-065,—,—,—,—,5.0,5.0
BD-066,4.0,—,—,—,5.0,—
BD-067,—,—,—,1.0,—,—
BD-068,2.3333333333333335,—,—,2.0,—,—
BD-069,5.0,—,—,—,5.0,—
BD-071,2.0,1.0,1.0,—,—,—
BD-072,—,—,—,—,1.0,—
BD-073,—,5.0,—,—,—,—
BD-074,5.0,—,—,5.0,—,—
BD-075,—,—,—,5.0,—,—
BD-076,5.0,—,—,—,5.0,—
BD-077,—,1.0,—,—,—,—
BD-078,—,—,—,5.0,—,—
BD-079,—,—,—,—,1.0,—
BD-081,1.0,—,—,1.0,—,—
BD-082,4.5,—,—,—,4.0,—
BD-083,—,—,—,—,5.0,—
BD-084,—,—,—,—,1.0,—
BD-085,5.0,—,—,5.0,—,—
BD-086,—,—,3.0,—,3.0,—
BD-087,4.666666666666667,—,—,—,5.0,—
BD-088,—,—,—,5.0,—,—
BD-089,4.0,—,—,—,1.0,—
BD-091,3.0,3.0,3.0,—,—,—
BD-092,5.0,—,—,5.0,—,—
BD-093,—,—,—,5.0,—,—
BD-094,3.0,—,—,—,4.0,—
BD-095,—,—,—,1.0,—,—
BD-096,5.0,4.0,—,—,—,—
BD-097,3.0,—,—,—,4.0,3.0
BD-098,3.5,1.0,—,—,—,—
BD-099,1.0,1.0,—,—,—,—
