output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
W4o-055,—,—,5.0,—,—,—
W4o-056,1.0,—,—,—,—,2.0
W4o-057,—,—,—,—,—,1.0
W4o-058,1.0,2.0,2.0,—,—,—
W4o-059,4.0,—,—,—,—,5.0
W4o-061,5.0,—,3.0,5.0,—,—
W4o-062,—,—,3.0,5.0,—,—
W4o-063,—,—,1.0,—,—,—
W4o-064,—,—,5.0,5.0,—,—
W4o-065,1.0,1.0,1.0,—,—,—
W4o-066,—,—,—,—,—,1.0
W4o-067,—,—,5.0,—,—,—
W4o-068,4.0,—,3.0,5.0,3.0,—
W4o-069,5.0,—,5.0,—,—,—
W4o-071,—,—,5.0,—,—,—
W4o-072,—,1.0,—,—,—,3.0
W4o-073,—,4.0,4.0,—,—,—
W4o-074,—,—,5.0,—,—,—
W4o-075,—,—,1.0,—,—,—
W4o-076,3.0,—,3.0,2.0,—,—
W4o-077,—,—,5.0,—,—,—
W4o-078,—,—,—,—,—,1.0
W4o-079,—,4.0,4.0,—,—,—
W4o-081,4.0,—,4.0,—,—,—
W4o-082,4.0,—,4.0,—,—,—
W4o-083,3.0,—,—,—,—,2.0
W4o-084,5.0,—,5.0,—,—,—
W4o-085,2.0,—,—,—,—,1.0
W4o-086,—,—,—,—,—,1.0
W4o-087,—,1.0,2.0,—,—,—
W4o-088,5.0,—,4.0,—,—,—
W4o-089,—,—,—,—,—,5.0
W4o-091,2.0,—,4.0,—,—,—
W4o-092,1.0,—,1.0,—,—,—
W4o-093,—,—,3.0,—,4.0,—
W4o-094,—,—,1.0,—,—,—
W4o-095,2.0,—,2.0,—,—,—
W4o-096,—,—,5.0,5.0,—,—
W4o-097,1.0,—,2.0,—,—,—
W4o-098,—,1.0,2.0,—,—,—
W4o-099,3.0,—,5.0,—,—,—
W5-001,—,—,5.0,—,—,—
W5-002,—,—,5.0,—,—,—
W5-003,—,2.0,1.0,—,—,—
W5-004,—,—,5.0,—,—,—
W5-005,—,—,4.0,5.0,—,—
W5-006,1.0,—,2.0,—,—,—
W5-007,1.0,—,3.0,—,1.0,—
W5-008,—,—,1.0,1.0,1.0,—
W5-009,—,—,2.0,1.0,1.0,—
W5-011,—,2.0,2.0,—,2.0,—
W5-012,—,—,1.0,—,—,—
W5-013,—,—,—,—,—,1.0
W5-014,1.5,—,2.0,—,—,—
W5-015,4.0,—,4.0,—,—,—
W5-016,—,3.0,3.0,—,2.0,—
W5-017,5.0,—,5.0,—,—,—
W5-018,4.0,—,2.0,—,—,—
W5-019,5.0,—,3.0,5.0,—,—
W5-021,4.5,4.0,—,—,—,5.0
W5-022,4.0,—,5.0,—,—,—
W5-023,4.0,—,2.0,—,—,—
W5-024,—,—,5.0,—,—,—
W5-025,—,—,3.0,—,1.0,—
W5-026,5.0,5.0,5.0,—,—,—
W5-027,5.0,5.0,—,—,—,5.0
W5-028,—,—,1.0,—,—,—
W5-029,—,—,5.0,—,—,—
W5-031,—,—,1.0,—,—,—
W5-032,1.0,—,2.0,—,—,—
W5-033,—,—,5.0,—,—,—
W5-034,—,—,1.0,—,—,—
W5-035,—,—,2.0,—,—,—
W5-036,1.0,—,1.0,—,—,—
W5-037,—,—,1.0,—,—,—
W5-038,—,—,2.0,—,—,—
W5-039,5.0,3.0,1.0,—,—,—
W5-041,—,—,2.0,—,—,—
W5-042,—,—,3.0,—,4.0,—
W5-043,—,—,4.0,5.0,—,—
W5-044,—,4.0,3.0,—,—,—
W5-045,—,2.0,2.0,—,—,—
W5-046,3.0,—,2.0,—,—,—
W5-047,—,—,5.0,—,—,—
W5-048,—,—,2.0,—,—,—
W5-049,—,—,—,—,—,1.0
W5-051,5.0,—,5.0,—,—,—
W5-052,5.0,—,5.0,—,—,—
W5-053,5.0,4.0,5.0,—,—,—
W5-054,—,—,4.0,—,—,—
W5-055,—,4.0,5.0,—,—,—
W5-056,—,—,1.0,—,—,—
W5-057,1.0,—,—,—,—,1.0
W5-058,—,—,—,—,—,5.0
W5-059,4.5,—,5.0,—,—,—
W5-061,—,—,5.0,—,—,—
W5-062,—,4.0,—,—,—,3.0
W5-063,—,—,1.0,—,—,—
W5-064,4.0,—,—,—,—,5.0
W5-065,3.5,—,4.0,—,—,—
W5-066,—,—,1.0,—,—,—
W5-067,—,—,4.0,—,—,—
W5-068,—,—,5.0,5.0,—,—
W5-069,3.0,—,5.0,—,—,—
W5-071,—,—,—,—,—,5.0
W5-072,—,—,2.0,—,—,—
W5-073,5.0,5.0,2.0,—,—,—
W5-074,1.0,3.0,—,—,—,1.0
W5-075,2.0,3.0,2.0,—,—,—
W5-076,3.0,—,3.0,2.0,—,—
W5-077,5.0,3.0,3.0,—,—,—
W5-078,—,—,—,—,—,1.0
W5-079,4.0,3.0,3.0,—,—,—
W5-081,3.0,2.0,3.0,—,—,—
W5-082,—,—,—,—,—,5.0
W5-083,1.0,1.0,3.0,—,—,—
W5-084,5.0,5.0,4.0,—,—,—
W5-085,—,—,2.0,—,—,—
W5-086,—,3.0,4.0,—,—,—
W5-087,1.0,—,1.0,—,—,—
W5-088,5.0,—,4.0,—,—,—
W5-089,5.0,—,3.0,—,—,—
W5-091,—,1.5,2.0,—,—,—
W5-092,—,—,1.0,—,—,—
W5-093,—,—,4.0,—,—,—
W5-094,—,—,1.0,—,—,—
W5-095,2.0,2.0,2.0,—,—,—
W5-096,—,4.0,—,—,—,4.0
W5-097,—,—,1.0,—,—,—
W5-098,4.0,—,5.0,—,—,—
W5-099,—,—,5.0,—,—,—
WD-001,4.5,—,2.0,—,5.0,—
WD-002,4.0,3.0,2.0,—,—,—
WD-003,1.0,—,2.0,1.0,—,—
WD-004,5.0,—,4.0,—,—,—
WD-005,—,—,2.0,—,—,—
WD-006,3.0,4.0,4.0,—,—,—
WD-007,—,—,1.0,—,—,—
WD-008,—,1.0,3.0,—,2.0,—
WD-009,—,1.0,3.0,—,—,—
WD-011,—,—,—,—,—,1.0
WD-012,—,—,—,—,—,5.0
WD-013,1.0,—,1.0,—,—,—
WD-014,1.0,—,3.0,—,—,—
WD-015,3.0,—,—,—,—,4.0
WD-016,—,2.0,3.0,—,—,—
WD-017,5.0,—,—,5.0,—,5.0
WD-018,—,—,1.0,—,—,—
WD-019,3.0,2.0,1.0,—,—,—
WD-021,—,—,5.0,—,—,—
WD-022,1.5,—,—,—,—,2.0
WD-023,—,3.0,4.0,—,—,—
WD-024,—,—,—,—,—,5.0
WD-025,5.0,—,1.0,—,5.0,—
WD-026,5.0,—,3.0,—,—,—
WD-027,—,1.0,4.0,—,—,—
WD-028,—,—,2.0,—,—,—
WD-029,—,—,2.0,—,—,—
WD-031,—,—,1.0,—,—,—
WD-032,2.0,—,—,—,—,2.0
WD-033,—,—,4.0,—,—,—
WD-034,3.0,—,—,—,—,5.0
WD-035,—,—,1.0,—,—,—
WD-036,—,—,1.0,—,—,—
WD-037,1.0,—,1.0,—,—,—
WD-038,5.0,—,4.0,—,3.0,—
WD-039,—,—,4.0,4.0,4.0,—
WD-041,—,—,2.0,—,1.0,—
WD-042,4.333333333333333,—,5.0,—,—,—
WD-043,—,—,1.0,—,—,—
WD-044,—,—,3.0,—,3.0,—
WD-045,—,—,—,—,—,1.0
WD-046,—,—,—,—,—,1.0
WD-047,—,—,2.0,—,—,—
WD-048,—,—,5.0,5.0,—,—
WD-049,2.5,—,1.0,1.0,—,—
WD-051,—,—,4.0,—,—,—
WD-052,—,—,2.0,—,—,—
WD-053,—,4.0,4.0,—,—,—
WD-054,5.0,—,4.0,5.0,—,—
WD-055,4.0,—,1.0,—,—,—
WD-056,—,—,2.0,1.0,—,—
WD-057,4.0,—,4.0,—,—,—
WD-058,1.5,—,1.0,—,—,—
WD-059,—,—,—,—,—,5.0
WD-061,—,—,—,—,—,5.0
WD-062,—,—,—,—,—,5.0
WD-063,1.0,—,2.0,—,—,—
WD-064,1.0,1.0,2.0,—,—,—
WD-065,4.0,—,5.0,—,—,—
WD-066,—,—,1.0,—,—,—
WD-067,—,—,2.0,1.0,2.0,—
WD-068,—,—,4.0,5.0,—,—
WD-069,—,—,4.0,5.0,—,—
WD-071,—,—,4.0,—,—,—
WD-072,—,—,4.0,—,1.0,—
WD-073,4.0,—,5.0,—,—,—
WD-074,—,—,4.0,—,—,—
WD-075,1.0,—,3.0,—,—,—
WD-076,1.0,—,3.0,—,—,—
WD-077,—,—,4.0,—,—,—
WD-078,—,—,—,—,—,1.0
WD-079,—,—,5.0,—,—,—
WD-081,4.0,—,3.0,—,—,—
WD-082,3.0,—,2.0,—,—,—
WD-083,—,—,3.0,5.0,—,—
WD-084,5.0,—,4.0,—,—,—
WD-085,—,—,2.0,—,—,—
WD-086,—,—,—,—,—,1.0
WD-087,—,—,2.0,—,1.0,—
WD-088,1.0,—,3.0,—,1.0,—
WD-089,—,—,5.0,—,—,—
WD-091,—,—,3.0,1.0,—,—
WD-092,2.0,—,2.0,—,—,—
WD-093,5.0,—,4.0,—,—,—
WD-094,—,—,1.0,—,—,—
WD-095,—,—,—,—,—,1.0
WD-096,5.0,—,5.0,—,—,—
WD-097,1.0,—,3.0,—,1.0,—
WD-098,—,5.0,4.0,—,—,—
WD-099,—,—,—,—,—,5.0
