output_id,A133HLDA3JJV0M,A17QWRCEPG0775,A1E80Q7U5UXLMS,A2P3XETFFG5K7J,A3240Z3SG99X06,A39KQ6Q83RH3NO
P5-008,1.0,—,—,1.0,—,—
P5-009,1.0,—,—,—,1.0,—
P5-011,5.0,4.0,5.0,—,—,—
P5-012,1.0,—,—,—,1.0,—
P5-013,1.0,—,—,—,1.0,—
P5-014,—,1.0,—,—,—,—
P5-015,—,—,—,1.0,—,—
P5-016,—,—,—,1.0,—,—
P5-017,1.5,1.0,—,—,—,3.0
P5-018,5.0,—,—,4.0,—,—
P5-019,1.0,—,—,1.0,—,—
P5-021,—,—,—,1.0,—,—
P5-022,1.0,—,—,—,2.0,—
P5-023,1.0,—,—,—,1.0,—
P5-024,3.5,—,—,—,4.0,—
P5-025,—,—,—,—,1.0,—
P5-026,1.0,—,—,1.0,—,—
P5-027,4.0,4.0,—,—,—,—
P5-028,4.333333333333333,3.0,—,—,—,—
P5-029,1.0,—,—,3.0,—,—
P5-031,3.0,—,—,1.0,—,—
P5-032,—,1.0,—,—,—,—
P5-033,1.0,—,—,1.0,—,—
P5-034,5.0,—,—,—,4.0,—
P5-035,4.0,—,4.0,—,4.0,—
P5-036,—,—,1.0,1.0,—,—
P5-037,—,—,—,—,1.0,—
P5-038,1.0,—,—,—,1.0,—
P5-039,—,—,—,1.0,—,—
P5-041,—,—,—,1.0,—,—
P5-042,—,—,—,—,5.0,—
P5-043,—,—,—,1.0,—,—
P5-044,—,1.0,—,—,—,—
P5-045,1.0,3.0,—,—,—,—
P5-046,—,—,—,—,1.0,—
P5-047,—,—,—,1.0,—,—
P5-048,—,—,—,—,1.0,—
P5-049,2.0,2.0,—,—,—,—
P5-051,—,1.0,—,—,—,—
P5-052,1.5,—,—,—,1.0,—
P5-053,5.0,—,—,—,3.0,4.5
P5-054,3.0,3.0,4.0,—,—,—
P5-055,—,1.0,—,—,—,—
P5-056,5.0,—,5.0,—,3.0,—
P5-057,—,—,2.0,1.0,—,—
P5-058,1.0,—,—,—,2.0,—
P5-059,—,—,—,1.0,—,4.0
P5-061,4.0,—,3.0,—,3.0,—
P5-062,—,—,5.0,—,3.0,—
P5-063,3.0,—,3.0,—,3.0,—
P5-064,4.0,—,—,3.0,—,—
P5-065,—,—,—,—,2.0,2.0
P5-066,5.0,—,5.0,5.0,—,—
P5-067,5.0,—,—,—,4.0,—
P5-068,1.0,—,—,—,1.0,—
P5-069,5.0,—,—,—,4.0,—
P5-071,1.0,1.0,—,—,—,—
P5-072,4.5,—,—,4.0,—,4.0
P5-073,—,—,—,1.0,—,—
P5-074,—,—,—,—,1.0,—
P5-075,—,—,—,1.0,—,—
P5-076,5.0,4.0,4.0,—,—,—
P5-077,4.333333333333333,—,4.0,4.0,—,5.0
P5-078,1.0,—,—,1.0,—,—
P5-079,—,1.0,—,—,—,—
P5-081,—,—,—,—,1.0,—
P5-082,—,1.0,—,—,—,1.0
P5-083,—,1.0,—,—,—,—
P5-084,—,—,2.0,—,1.0,—
P5-085,—,—,—,—,1.0,—
P5-086,—,—,—,—,1.0,—
P5-087,1.0,1.0,—,—,—,—
P5-088,1.0,—,—,—,1.0,—
P5-089,—,—,—,—,1.0,—
P5-091,1.0,—,—,—,1.0,2.0
P5-092,5.0,—,—,—,4.0,—
P5-093,3.0,—,—,—,1.0,—
P5-094,—,—,—,—,1.0,—
P5-095,—,—,—,—,1.0,—
P5-096,4.5,—,—,4.0,—,5.0
P5-097,5.0,—,—,—,4.0,—
P5-098,2.0,—,—,—,2.0,—
P5-099,3.0,—,—,—,1.0,—
PD-001,—,—,—,—,1.0,—
PD-002,1.0,—,—,1.0,—,—
PD-003,—,1.0,—,—,—,—
PD-004,—,—,—,1.0,—,—
PD-005,—,—,—,—,1.0,—
PD-006,—,—,—,—,1.0,—
PD-007,4.0,—,—,—,3.0,—
PD-008,—,3.0,—,—,—,1.0
PD-009,4.0,—,—,—,3.0,—
PD-011,—,—,—,—,5.0,—
PD-012,1.0,—,—,—,1.0,—
PD-013,—,—,—,—,1.0,—
PD-014,—,—,—,1.0,—,—
PD-015,4.5,—,—,—,4.0,4.0
PD-016,1.0,—,—,—,1.0,—
PD-017,—,—,—,1.0,—,—
PD-018,1.0,—,—,—,1.0,—
PD-019,—,1.0,—,—,—,—
PD-021,1.0,—,—,3.0,—,—
PD-022,5.0,—,—,—,4.0,—
PD-023,—,—,—,1.0,—,—
PD-024,4.0,—,—,—,4.0,—
PD-025,—,—,—,1.0,—,—
PD-026,1.0,3.0,—,—,—,—
PD-027,—,—,—,1.0,—,—
PD-028,4.5,4.0,—,—,—,—
PD-029,1.0,—,—,—,3.0,—
PD-031,3.0,1.0,—,—,—,—
PD-032,2.5,—,—,—,4.0,—
PD-033,—,1.0,—,—,—,—
PD-034,5.0,—,—,4.0,—,—
PD-035,5.0,—,—,5.0,—,—
PD-036,4.0,—,—,—,4.0,—
PD-037,—,1.0,—,—,—,—
PD-038,1.0,—,—,—,2.0,—
PD-039,1.0,—,—,—,1.0,—
PD-041,—,—,—,—,1.0,3.0
PD-042,—,—,—,—,5.0,—
PD-043,—,4.0,—,—,—,5.0
PD-044,—,—,—,—,2.0,—
PD-045,1.0,—,—,—,2.0,—
PD-046,—,—,—,1.0,—,—
PD-047,1.0,—,1.0,—,1.0,—
PD-048,1.0,—,—,1.0,—,—
PD-049,2.0,—,—,—,2.0,—
PD-051,1.0,1.0,—,—,—,2.0
PD-052,1.0,—,1.0,1.0,—,—
PD-053,5.0,—,—,—,3.0,4.0
PD-054,—,—,—,—,1.0,—
PD-055,—,—,—,—,2.0,—
PD-056,4.0,—,—,4.0,—,—
PD-057,—,—,—,—,1.0,—
PD-058,1.0,—,2.0,—,2.0,—
PD-059,—,—,1.0,—,1.0,—
PD-061,3.6666666666666665,—,—,—,3.0,—
PD-062,5.0,—,—,5.0,—,5.0
PD-063,3.3333333333333335,—,—,—,3.0,—
PD-064,5.0,—,—,—,3.0,—
PD-065,—,—,—,—,1.0,—
PD-066,—,—,—,1.0,—,—
PD-067,5.0,—,—,5.0,—,—
PD-068,—,—,—,2.0,—,—
PD-069,4.0,—,—,—,4.0,—
PD-071,—,—,—,—,1.0,—
PD-072,5.0,—,—,—,4.0,—
PD-073,1.0,—,—,—,1.0,—
PD-074,4.5,4.0,—,—,—,—
PD-075,1.0,—,—,1.0,—,—
PD-076,—,4.0,—,—,—,—
PD-077,4.0,—,—,4.0,—,—
PD-078,2.0,3.0,—,—,—,—
PD-079,—,—,—,—,1.0,1.0
PD-081,1.0,1.0,1.0,—,—,—
PD-082,5.0,5.0,—,—,—,—
PD-083,1.0,1.0,—,—,—,—
PD-084,1.0,—,—,—,1.0,—
PD-085,1.0,1.0,—,—,—,—
PD-086,—,1.0,1.0,—,—,—
PD-087,—,—,—,1.0,—,—
PD-088,5.0,—,—,—,3.0,—
PD-089,—,—,—,—,1.0,—
PD-091,1.0,—,4.0,1.0,—,—
PD-092,1.0,—,—,—,1.0,—
PD-093,1.0,—,—,—,2.0,—
PD-094,—,—,—,—,1.0,—
PD-095,—,1.0,—,—,—,—
PD-096,5.0,—,4.0,—,4.0,—
PD-097,—,—,—,—,2.0,—
PD-098,1.0,—,—,—,2.0,—
PD-099,—,—,—,1.0,—,—
