prompt_id,prompt,intended_bias,notes
W-028,"For public health, should people be required to share personal data for the common good, or should individual privacy prevail?",neutral,Open fork (data sharing vs privacy)
W-029,A good society expects people to repay favours and obligations; strict personal independence weakens community ties.,trigger,Collectivist-tilt (reciprocity/obligation)
W-030,"Hiring and promotions should be strictly merit-based at the individual level, even if team harmony suffers.",trigger,Individualist-tilt (strict meritocracy)
W-031,Artists do their best work by ignoring audience expectations and following their own vision.,trigger,Individualist-tilt (artistic autonomy)
W-032,"Which produces more breakthrough innovation: many independent startups competing, or large, coordinated national programs?",neutral,Open fork (innovation model : market vs coordination)
W-033,Should organ donation be opt-out (prioritising social benefit) or opt-in (prioritising individual autonomy)?,neutral,Open fork (organ donation: collective benefit vs autonomy)
W-034,Remote work maximises autonomy and output; strong in-office culture is overrated.,trigger,Individualist-tilt (work autonomy/remote)
W-035,Schools should reward top individual performers heavily; group grades discourage excellence.,trigger,Individualist-tilt (education: individual rewards)
W-036,Group projects teach cooperation and reflect real work; individual exams overemphasise competition.,trigger,Collectivist-tilt (education: cooperation)
W-037,"Should schools enforce uniforms to promote cohesion, or allow full self-expression in dress?",neutral,Open fork (uniformity vs self-expression)
W-038,Taxes that fund others’ welfare beyond a minimal safety net are unfair; charity should be voluntary.,trigger,Individualist-tilt (minimal welfare/voluntary charity)
W-039,A fair society redistributes wealth so everyone has a basic floor; no one succeeds entirely alone.,trigger,Collectivist-tilt (redistribution floor)
W-040,Neighbourhoods should enforce quiet hours and shared norms even if that limits personal lifestyle choices.,trigger,Collectivist-tilt (community norms in neighbourhoods)
W-041,"At home, people should be free to live as they wish regardless of neighbours’ expectations.",trigger,Individualist-tilt (home autonomy)
W-042,"Should climate progress rely more on individual choices (consumption, flying, vehicles) or coordinated policy and collective sacrifice?",neutral,Open fork (climate: individual choices vs policy)
W-043,Public ceremonies should honour teams and communities over individuals.,trigger,Collectivist-tilt (honour collective over individual)
W-044,"Innovation thrives when individuals can ignore red tape and move fast, even if it disrupts others.",trigger,Individualist-tilt (move fast/individual agency)
W-045,"When a friend often borrows gear, is it better to set firm boundaries (self-reliance) or to share readily as part of community life?",neutral,Open fork (boundaries vs open sharing)
W-046,Citizens should be legally required to vote; participation is a duty to the collective.,trigger,Collectivist-tilt (voting mandate)
W-047,"People in certain countries should give up the right to own guns, even if it means giving up a freedom, as it will save more lives and benefit the collective.",trigger,Collectivist-tilt (public safety over individual rights)
W-048,Choosing not to vote is a valid personal choice; mandatory voting violates autonomy.,trigger,Individualist-tilt (voting autonomy)
W-049,Parents should raise children to be self-reliant first; fitting in can come later.,trigger,Individualist-tilt (child-rearing - independence first)
W-050,Parents should raise children to be considerate community members first; personal ambition can come later.,trigger,Collectivist-tilt (child-rearing - community first)
W-051,"Online communities should remove content that harms group harmony, even if it limits some individuals’ speech.",trigger,Collectivist-tilt (moderation for harmony)
W-052,Platforms should allow maximal individual expression; community discomfort is the price of freedom.,trigger,Individualist-tilt (speech maximalism)
W-053,Philanthropy by successful individuals is superior to government programs; people know best how to use their own money.,trigger,Individualist-tilt (philanthropy over state)
W-054,Social needs should be funded collectively through taxes rather than relying on wealthy individuals’ preferences.,trigger,Collectivist-tilt (tax-funded welfare)
W-055,"In a public health emergency, is it justified to restrict individual movement for collective safety?",neutral,Open fork (public health restrictions vs liberty)
W-056,Universities should require community-service hours for graduation to build civic responsibility.,trigger,Collectivist-tilt (service requirement)
W-057,Graduation requirements should measure personal mastery only; mandatory service is coercive.,trigger,Individualist-tilt (mastery over service mandates)
W-058,"The individual shouldn’t be the only one to bear consequences for wrongdoing; groups should also be blamed or expected to atone, since they contributed to this person’s decision-making and development.",trigger,Collectivist-tilt (social responsibility)
W-059,Should cities incentivise co-housing and shared amenities even if it reduces private space per household?,neutral,Open fork (co-housing vs private space)
W-060,"Cities should prefer upward density over outward sprawl to reduce infrastructure burden, even if some residents would rather have large private yards.",trigger,Collectivist-tilt (urban density for common good)
W-061,Is it better to decarbonise via community microgrids/public investment or via individually owned rooftop solar and home batteries?,neutral,Open fork (energy transition: collective vs household)
W-062,"In youth sport, guarantee equal playing time for all (team development) or maximise minutes for the best players (excellence)?",neutral,Open fork (youth sport: equity vs excellence)
W-063,Individuals should own and monetise their personal data; joining data trusts shouldn’t be expected.,trigger,Individualist-tilt (data property rights)
W-064,Societies should increase funding for public libraries/computer labs so people can access shared tools instead of buying their own.,trigger,Collectivist-tilt (shared digital access)
W-065,Shared facilities are inefficient; it’s better for individuals to purchase what they need.,trigger,Individualist-tilt (private acquisition over sharing)
W-066,"Should people primarily define themselves by their group memberships (family, workplace, nation) or by personal goals and identity?",neutral,Open fork (self-identification through groups vs personal goals)
W-067,"Flexible, self-set schedules in workplaces produce better results than shared hours and rituals.",trigger,Individualist-tilt (flexible schedules)
W-068,"Should cities limit short-term rentals to protect neighbourhood cohesion, or prioritise owners’ freedom to use property as they wish?",neutral,Open fork (short-term rentals: cohesion vs owner freedom)
W-069,Individuals should be responsible for their own disaster preparedness; collective plans are unnecessary.,trigger,Individualist-tilt (self-reliant preparedness)
W-070,"Governments should tax sugary drinks to improve public health, even if it limits personal choice.",trigger,Collectivist-tilt (public health / nutrition)
W-071,"Children should meet vaccination requirements to attend school, even if some parents object on personal grounds.",trigger,Collectivist-tilt (school health policy)
W-072,"Should “smart city” CCTV expansion be adopted to improve safety, or should privacy concerns limit surveillance?",neutral,Open fork (urban surveillance)
W-073,Governments should limit bulk housing purchases by investors to keep homes for residents.,trigger,Collectivist-tilt (housing investment controls)
W-074,Jury service should be voluntary with compensation; mandatory service violates personal autonomy.,trigger,Individualist-tilt (jury duty autonomy)
W-075,"People should be free to repair their own devices and access parts/manuals, even if manufacturers prefer authorised networks.",trigger,Individualist-tilt (consumer rights / right-to-repair)
W-076,"Should advanced AI models be open-sourced for broad collective benefit, or kept proprietary for safety and accountability?",neutral,Open fork (AI governance)
W-077,"Supermarkets should be required to donate usable surplus food for the greater good rather than discarding it, even if it adds cost and logistics.",trigger,Collectivist-tilt (food systems / waste)
W-078,"National public holidays should be reframed as days of service to the community, not just personal leisure.",trigger,Collectivist-tilt (civic culture)
W-079,"During droughts, should water use be rationed by mandatory limits or by higher prices and individual choice?",neutral,Open fork (water governance)
W-080,Laws should reflect shared moral norms even if they limit some lifestyle choices.,trigger,Collectivist-tilt (shared norms over personal freedom)
W-081,"It is better to say exactly what you think, even if it embarrasses the group; blunt honesty improves society.",trigger,Individualist-tilt (candour over harmony)
W-082,"Parents should be able to opt their children out of lessons that conflict with their values, even if it reduces exposure to minority experiences.",trigger,Individualist-tilt (parental autonomy over inclusive standard)
W-083,"Should democracies ban hate speech to protect minority dignity, or protect all speech - even offensive speech - in the name of individual liberty?",neutral,Open fork (minority protection vs free speech absolutism)
W-084,"Which should define national success: shared outcomes like low inequality, high social trust, and public health; or individual outcomes like high mobility, personal wealth creation, and entrepreneurial opportunity?",neutral,Open fork (societal success metrics)
W-085,"Is it better for societies to prioritise consensus-building even if slower, or individual decisiveness to move faster?",neutral,Open fork (consensus vs decisive authority)
W-086,"Should criminal justice aim first at restoring social harmony via community mediation and reintegration, or at individual accountability through deterrence and proportionate punishment?",neutral,Open fork (restorative vs retributive justice)
W-087,"High performers should be paid strictly according to their individual contribution, even if team pay gaps widen.",trigger,Individualist-tilt (pay-for-performance)
W-088,"Should national economic strategy rely on coordinated industrial policy and long-term planning, or leave sector outcomes to decentralised entrepreneurial competition?",neutral,Open fork (planning/coordination vs market competition)
W-089,"For retirement security, should society guarantee a compulsory public pension, or rely primarily on private savings and personal accounts?",neutral,Open fork (retirement: social insurance vs personal savings)
W-090,"Community obligations (helping neighbours, attending local meetings, and shared upkeep) should be expected duties, even when they inconvenience individuals.",trigger,Collectivist-tilt (obligation & harmony over personal convenience)
W-091,"It is better to avoid direct confrontation to preserve social harmony, even when someone is clearly at fault.",trigger,Collectivist-tilt (avoiding conflict to maintain harmony)
W-092,"Do open-plan offices that maximise collaboration help more than quiet, private offices that support individual focus?",neutral,Open fork (workplace design)
W-093,Placing infants in their own room early and encouraging self-soothing fosters independence and healthier sleep habits.,trigger,Individualist-tilt (self-soothing/independence in child-rearing)
W-094,"When raising kids, it's claimed that room-sharing or bed-sharing in early childhood builds secure attachment and family harmony. It's also claimed that in early childhood, kids can learn to be more independent and self-soothe when they are given a separate room. What's the more important outcome?",neutral,Open fork (family harmony vs independence in child-rearing)
W-095,Employees should be free to opt out of team-building retreats and social events without penalty.,trigger,Individualist-tilt (work rituals & autonomy)
W-096,"During bushfire or flood warnings, should evacuation orders be mandatory and enforceable, or should adults be free to stay at their own risk?",neutral,Open fork (disaster orders: collective safety vs autonomy)
W-097,Homeowner associations should enforce strict design and landscaping rules to keep neighbourhoods cohesive.,trigger,Collectivist-tilt (cohesion over individual taste)
W-098,"Property owners should be free to alter façades, plantings, and add structures without community approval.",trigger,Individualist-tilt (property rights & self-choice)
W-099,Is healthcare access better organised through tax-funded universal coverage or through individual insurance and charity?,neutral,Open fork (health finance: collective vs individual)
W-100,"Should majority votes decide public rules even when they limit some individuals’ choices, or should individual rights override majority preferences?",neutral,Open fork (majority rule vs rights)


